1,"PAP"
2,"CHAP"
3,"MS-CHAP v1"
4,"MS-CHAP v2"
5,"EAP"
6,"ARAP"
7,"Unauthenticated"
8,"Extension"
9,"MS-CHAP v1 CPW"
10,"MS-CHAP v2 CPW"
11,"PEAP"
