1,"Access-Request"
2,"Access-Accept"
3,"Access-Reject"
4,"Accounting-Request"
5,"Accounting-Response"
11,"Access-Challenge"
12,"Status-Server (experimental)"
13,"Status-Client (experimental)"
255,"Reserved"
